item,itemLabel,ISO639_1,ISO639_2,ISO639_3,country,countryLabel
http://www.wikidata.org/entity/Q34094,Tongan,to,ton,ton,http://www.wikidata.org/entity/Q678,Tonga
http://www.wikidata.org/entity/Q34125,Tetum,,tet,tet,http://www.wikidata.org/entity/Q574,East Timor
http://www.wikidata.org/entity/Q34137,Tswana,tn,tsn,tsn,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q34159,Tok Pisin,,tpi,tpi,http://www.wikidata.org/entity/Q691,Papua New Guinea
http://www.wikidata.org/entity/Q34327,Tsonga,ts,tso,tso,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q34340,Sesotho,st,sot,sot,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q35452,Bislama,bi,bis,bis,http://www.wikidata.org/entity/Q686,Vanuatu
http://www.wikidata.org/entity/Q35876,Guarani,gn,grn,grn,http://www.wikidata.org/entity/Q733,Paraguay
http://www.wikidata.org/entity/Q35876,Guarani,gn,grn,grn,http://www.wikidata.org/entity/Q750,Bolivia
http://www.wikidata.org/entity/Q36239,New Zealand Sign Language,,,nzs,http://www.wikidata.org/entity/Q664,New Zealand
http://www.wikidata.org/entity/Q36280,Marshallese,mh,mah,mah,http://www.wikidata.org/entity/Q709,Marshall Islands
http://www.wikidata.org/entity/Q36451,Māori,mi,mao,mri,http://www.wikidata.org/entity/Q664,New Zealand
http://www.wikidata.org/entity/Q36785,Southern Ndebele,nr,nbl,nbl,http://www.wikidata.org/entity/Q258,South Africa
http://www.wikidata.org/entity/Q46728,Fiji Hindi,,,hif,http://www.wikidata.org/entity/Q712,Fiji
http://www.wikidata.org/entity/Q7598268,Standard Moroccan Berber,,zgh,zgh,http://www.wikidata.org/entity/Q1028,Morocco
http://www.wikidata.org/entity/Q1321,Spanish,es,spa,spa,http://www.wikidata.org/entity/Q983,Equatorial Guinea
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q986,Eritrea
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1005,The Gambia
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1009,Cameroon
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1013,Lesotho
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1014,Liberia
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1020,Malawi
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1027,Mauritius
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1030,Namibia
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1033,Nigeria
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1036,Uganda
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1037,Rwanda
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1042,Seychelles
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1044,Sierra Leone
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1049,Sudan
http://www.wikidata.org/entity/Q1860,English,en,eng,eng,http://www.wikidata.org/entity/Q1050,Eswatini
http://www.wikidata.org/entity/Q5146,Portuguese,pt,por,por,http://www.wikidata.org/entity/Q983,Equatorial Guinea
http://www.wikidata.org/entity/Q5146,Portuguese,pt,por,por,http://www.wikidata.org/entity/Q1007,Guinea-Bissau
http://www.wikidata.org/entity/Q5146,Portuguese,pt,por,por,http://www.wikidata.org/entity/Q1011,Cape Verde
http://www.wikidata.org/entity/Q5146,Portuguese,pt,por,por,http://www.wikidata.org/entity/Q1029,Mozambique
http://www.wikidata.org/entity/Q5146,Portuguese,pt,por,por,http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe
